Date,Open,High,Low,Close,Volume,Change
2019-08-28,42300,42300,40800,41700,7877,-0.0071428571428571175
2019-08-29,41600,42100,41250,41500,2347,-0.004796163069544335
2019-08-30,42000,43000,41750,42550,9694,0.025301204819277112
2019-09-02,42300,43200,42300,42900,2330,0.008225616921269108
2019-09-03,42900,43550,42350,42450,6380,-0.010489510489510523
2019-09-04,42950,42950,42300,42700,1374,0.005889281507656108
2019-09-05,43200,43850,43000,43500,4605,0.0187353629976581
2019-09-06,43900,43900,43150,43200,2672,-0.006896551724137945
2019-09-09,43750,43750,42750,43100,2578,-0.0023148148148147696
2019-09-10,43200,43800,43200,43400,4837,0.006960556844547661
2019-09-11,43250,44450,43250,44450,7297,0.024193548387096753
2019-09-16,44450,46250,44250,46150,52717,0.038245219347581516
2019-09-17,46300,46300,45600,45800,9863,-0.007583965330444253
2019-09-18,46200,46200,45650,45900,6714,0.0021834061135370675
2019-09-19,46250,46250,44400,44950,8704,-0.020697167755991286
2019-09-20,45500,45500,44150,44650,6965,-0.006674082313681828
2019-09-23,45000,45400,44300,44500,3494,-0.0033594624860022737
2019-09-24,45100,45100,44000,44200,8435,-0.006741573033707815
2019-09-25,44300,44300,42700,43700,10232,-0.011312217194570096
2019-09-26,43700,43900,43300,43650,8090,-0.0011441647597254523
2019-09-27,43800,43800,42900,43200,2939,-0.010309278350515427
2019-09-30,43700,43850,43000,43700,5496,0.011574074074074181
2019-10-01,44000,44000,43100,43750,2104,0.0011441647597254523
2019-10-02,43450,43700,43050,43250,3052,-0.011428571428571455
2019-10-04,43450,43450,42700,42850,2500,-0.009248554913294793
2019-10-07,43350,43350,42200,42500,6389,-0.008168028004667427
2019-10-08,42500,43300,42500,42900,5688,0.009411764705882453
2019-10-10,42900,43950,42450,42450,2572,-0.010489510489510523
2019-10-11,43900,43900,42000,42450,13384,0.0
2019-10-14,42550,43450,42550,43000,2496,0.012956419316843437
2019-10-15,43450,43450,42100,42700,1391,-0.006976744186046546
2019-10-16,42550,42900,42200,42550,5639,-0.003512880562060894
2019-10-17,42550,42550,41700,41850,6953,-0.016451233842538215
2019-10-18,41600,42200,41200,41350,11195,-0.01194743130227005
2019-10-21,41100,41700,40950,41050,6590,-0.00725513905683195
2019-10-22,41450,42000,40900,41300,8447,0.006090133982947554
2019-10-23,41750,42000,40950,41700,10748,0.009685230024213176
2019-10-24,41400,41950,41200,41850,9331,0.003597122302158251
2019-10-25,41300,42500,41300,42500,8817,0.015531660692950977
2019-10-28,42500,42750,41400,42100,5297,-0.009411764705882342
2019-10-29,42500,42500,41150,41500,6269,-0.014251781472684133
2019-10-30,41500,41900,40450,40800,21599,-0.016867469879518038
2019-10-31,40800,41250,40350,40750,14986,-0.001225490196078427
2019-11-01,40750,40950,40000,40400,7370,-0.008588957055214674
2019-11-04,40550,41650,40550,41350,7731,0.023514851485148425
2019-11-05,41800,41800,40900,41450,10967,0.002418379685610539
2019-11-06,41700,42050,41350,41800,11076,0.008443908323281013
2019-11-07,41250,43100,41250,42900,12259,0.026315789473684292
2019-11-08,42600,43300,42550,43000,4250,0.002331002331002363
2019-11-11,43100,43100,42500,42900,12461,-0.0023255813953488857
2019-11-12,42950,43050,42500,42750,3737,-0.0034965034965035446
2019-11-13,42350,43000,42150,42500,4889,-0.005847953216374324
2019-11-14,42500,42650,42150,42550,3217,0.0011764705882353343
2019-11-15,42600,43600,42450,43600,13442,0.024676850763807323
2019-11-18,43600,43950,42450,43200,8434,-0.00917431192660545
2019-11-19,42800,43650,42800,43350,12384,0.003472222222222321
2019-11-20,43300,43300,42600,43050,14539,-0.00692041522491349
2019-11-21,43100,43100,42400,42500,10990,-0.012775842044134733
2019-11-22,42400,43400,42400,43000,28182,0.0117647058823529
2019-11-25,43000,43700,43000,43700,6131,0.016279069767441756
2019-11-26,43750,45000,43700,44250,16995,0.012585812356979309
2019-11-27,44500,44600,44000,44450,4516,0.004519774011299438
2019-11-28,44500,44500,43750,44150,24538,-0.006749156355455588
2019-11-29,44200,44250,43600,43800,7011,-0.007927519818799578
2019-12-02,44000,44200,43800,44100,6336,0.006849315068493178
2019-12-03,44000,44100,43550,43900,7790,-0.0045351473922902175
2019-12-04,44000,44000,43200,43850,10246,-0.001138952164009166
2019-12-05,43950,43950,43300,43350,6930,-0.011402508551881407
2019-12-06,43300,44250,41000,42000,12413,-0.03114186851211076
2019-12-09,42500,42600,41400,41400,47831,-0.014285714285714235
2019-12-10,41000,42450,41000,42250,41029,0.020531400966183666
2019-12-11,42250,42450,42200,42400,9971,0.0035502958579882726
2019-12-12,42700,42900,42500,42750,11407,0.008254716981132004
2019-12-13,42700,45000,42700,44900,26142,0.05029239766081872
2019-12-16,44200,46500,44200,46250,41486,0.030066815144766057
2019-12-17,46050,46350,45600,46150,12147,-0.00216216216216214
2019-12-18,46000,46500,45700,45900,18034,-0.005417118093174467
2019-12-19,45800,46600,45700,46000,9637,0.002178649237472685
2019-12-20,46550,46550,45550,45750,8261,-0.005434782608695676
2019-12-23,45950,46200,45500,46000,28884,0.005464480874316946
2019-12-24,46000,46000,45600,45600,5710,-0.008695652173912993
2019-12-26,46000,46000,45000,45600,13118,0.0
2019-12-27,43950,45000,43650,44650,6740,-0.02083333333333337
2019-12-30,44250,44650,43500,44300,4195,-0.007838745800671898
2020-01-02,44250,44250,43200,43400,5258,-0.020316027088036148
2020-01-03,43250,43850,43150,43200,4852,-0.004608294930875556
2020-01-06,43300,43300,42200,42350,10203,-0.01967592592592593
2020-01-07,43250,43250,42200,42500,6421,0.0035419126328217754
2020-01-08,42850,42850,41350,41600,7567,-0.02117647058823524
2020-01-09,41850,43500,41400,41600,3870,0.0
2020-01-10,41600,42300,41000,41750,6439,0.0036057692307691624
2020-01-13,41750,42550,41150,41800,6869,0.0011976047904191933
2020-01-14,41900,42750,41900,42500,8878,0.01674641148325362
2020-01-15,42500,43250,42500,43100,9237,0.014117647058823568
2020-01-16,43100,43450,42450,42850,19515,-0.0058004640371229765
2020-01-17,42900,43250,42500,42950,13822,0.002333722287047868
2020-01-20,43500,43950,43200,43800,16275,0.019790454016298087
2020-01-21,43800,43850,43500,43650,8169,-0.003424657534246589
2020-01-22,43700,44300,43700,44000,8542,0.008018327605956443
2020-01-23,44300,44300,43350,43500,7764,-0.011363636363636354
2020-01-28,42400,42500,40000,41300,12417,-0.05057471264367819
2020-01-29,42000,42000,40900,40900,22682,-0.009685230024213065
2020-01-30,40900,41150,39450,39500,18038,-0.03422982885085579
2020-01-31,39500,40300,39200,39250,9656,-0.006329113924050667
2020-02-03,38900,39500,37150,38600,35621,-0.016560509554140124
2020-02-04,39400,39400,38550,38700,9303,0.002590673575129543
2020-02-05,38950,39450,38450,38650,8645,-0.0012919896640827266
2020-02-06,38750,40950,38750,40350,12335,0.043984476067270295
2020-02-07,40900,41400,39850,40200,15581,-0.0037174721189591198
2020-02-10,40000,40500,39250,39750,20500,-0.011194029850746245
2020-02-11,39750,41500,39600,39700,24861,-0.0012578616352201255
2020-02-12,39800,40400,39600,40200,9210,0.012594458438287104
2020-02-13,40100,41000,39750,40200,6697,0.0
2020-02-14,39900,40400,39800,39800,7666,-0.00995024875621886
2020-02-17,39600,39950,39400,39800,4873,0.0
2020-02-18,39750,40450,39550,39750,7724,-0.0012562814070351536
2020-02-19,40400,40400,39200,39450,6236,-0.007547169811320753
2020-02-20,39500,40000,39150,39300,13908,-0.0038022813688213253
2020-02-21,39150,39400,38500,38650,11337,-0.01653944020356235
2020-02-24,38500,38500,36550,36600,25898,-0.053040103492884905
2020-02-25,35600,37550,35600,37200,28184,0.016393442622950838
2020-02-26,36850,37850,36450,37700,13859,0.013440860215053752
2020-02-27,37750,37750,37250,37600,6850,-0.0026525198938992522
2020-02-28,37250,37400,35750,36050,27645,-0.04122340425531912
2020-03-02,36100,36300,35300,35700,45491,-0.009708737864077666
2020-03-03,36100,36900,36100,36450,10584,0.021008403361344463
2020-03-04,36250,37650,36200,37650,10171,0.03292181069958855
2020-03-05,38500,38600,37350,38500,7346,0.02257636122177953
2020-03-06,38000,38800,37950,38450,38298,-0.0012987012987012436
2020-03-09,38350,38450,37250,37550,36022,-0.023407022106632036
2020-03-10,37000,37850,36550,37750,10554,0.005326231691078487
2020-03-11,38750,38750,36750,37100,7368,-0.017218543046357615
2020-03-12,36400,36800,34000,34800,26544,-0.061994609164420456
2020-03-13,33200,33800,31550,33150,38463,-0.04741379310344829
2020-03-16,34300,34550,32200,32300,37306,-0.02564102564102566
2020-03-17,30900,32400,30600,30700,33314,-0.049535603715170295
2020-03-18,31000,31000,29550,29700,22631,-0.032573289902280145
2020-03-19,29100,30550,25250,25700,44532,-0.13468013468013473
2020-03-20,26400,27650,24050,24950,58732,-0.029182879377431914
2020-03-23,24200,24200,20700,21200,85237,-0.15030060120240485
2020-03-24,22550,23450,21100,23350,95746,0.10141509433962259
2020-03-25,25700,27700,24750,27700,73610,0.1862955032119915
2020-03-26,29000,29450,26900,27800,56301,0.0036101083032491488
2020-03-27,29150,29750,28100,29200,32326,0.050359712230215736
2020-03-30,27900,30050,27200,29400,52375,0.006849315068493178
2020-03-31,30700,30700,29500,30150,33584,0.025510204081632626
2020-04-01,30150,30300,28800,29100,37009,-0.03482587064676612
2020-04-02,28950,29700,27950,29200,26454,0.0034364261168384758
2020-04-03,29550,29550,28500,29000,18670,-0.006849315068493178
2020-04-06,29000,30150,28900,30150,30373,0.039655172413793016
2020-04-07,31200,31200,30100,30400,35322,0.008291873963515828
2020-04-08,30100,30100,29400,29550,60596,-0.02796052631578949
2020-04-09,29900,30000,29450,29550,39941,0.0
2020-04-10,29550,30350,29100,30150,25734,0.020304568527918843
2020-04-13,30150,30450,29400,29400,29044,-0.02487562189054726
2020-04-14,29650,30100,29500,30000,21852,0.020408163265306145
2020-04-16,29900,29900,28850,29750,24851,-0.008333333333333304
2020-04-17,30150,31400,30150,30900,61332,0.038655462184874034
2020-04-20,31150,31250,30500,30850,31144,-0.0016181229773463146
2020-04-21,30750,30750,29500,30200,33628,-0.021069692058346856
2020-04-22,29650,29800,29200,29800,41079,-0.013245033112582738
2020-04-23,30000,30250,29750,29850,12363,0.001677852348993314
2020-04-24,29850,30200,29500,29650,10050,-0.00670016750418756
2020-04-27,29850,30400,29700,30350,35513,0.02360876897133224
2020-04-28,30600,31150,30350,30800,44549,0.014827018121911006
2020-04-29,31150,32550,30600,32000,46576,0.03896103896103886
2020-05-04,31750,31750,30500,30850,23268,-0.035937499999999956
2020-05-06,31300,31750,30700,31300,21109,0.014586709886547755
2020-05-07,31300,31300,30800,31250,16658,-0.0015974440894568342
2020-05-08,31500,31750,31200,31500,44508,0.008000000000000007
2020-05-11,31950,31950,31500,31600,16466,0.0031746031746031633
2020-05-12,32000,32000,30800,31150,11064,-0.014240506329113889
2020-05-13,30900,31250,30400,31250,13654,0.0032102728731941976
2020-05-14,30900,31050,30500,30500,10998,-0.02400000000000002
2020-05-15,30850,30950,30350,30850,17423,0.011475409836065653
2020-05-18,30650,31200,29700,31000,39825,0.004862236628849326
2020-05-19,31900,32500,31250,32100,51489,0.03548387096774186
2020-05-20,31750,31950,31450,31700,31874,-0.012461059190031154
2020-05-21,32350,32400,31700,32250,27287,0.017350157728706517
2020-05-22,32400,32400,31400,31550,25605,-0.02170542635658912
2020-05-25,32000,32000,31050,31550,12384,0.0
2020-05-26,32050,32050,31650,31900,31992,0.011093502377178988
2020-05-27,32350,32350,31750,32100,18980,0.006269592476489061
2020-05-28,33000,33700,31850,32200,37783,0.0031152647975076775
2020-05-29,32400,33150,32150,32800,21424,0.01863354037267073
2020-06-01,32850,33800,32850,33650,22896,0.02591463414634143
2020-06-02,33650,34500,33450,34450,18186,0.023774145616641817
2020-06-03,34900,36900,34900,36000,37169,0.044992743105950694
2020-06-04,37000,37500,34600,35000,41054,-0.02777777777777779
2020-06-05,35050,35500,34450,35400,13323,0.011428571428571344
2020-06-08,36100,36950,35650,36900,25006,0.04237288135593231
2020-06-09,37250,37250,35600,35900,22548,-0.027100271002710064
2020-06-10,35650,36100,34700,35350,18293,-0.01532033426183843
2020-06-11,35350,35350,34000,34300,28943,-0.02970297029702973
2020-06-12,33300,33650,31400,32700,74351,-0.04664723032069973
2020-06-15,32800,32800,31000,31000,40623,-0.051987767584097844
2020-06-16,31300,33000,31150,32800,30540,0.058064516129032295
2020-06-17,32950,33400,32100,32800,39037,0.0
2020-06-18,33300,34650,32850,34100,69013,0.03963414634146334
2020-06-19,34900,34900,33200,33450,47182,-0.019061583577712593
2020-06-22,33250,33600,32600,32900,21867,-0.01644245142002987
2020-06-23,33300,33900,32600,32600,27690,-0.00911854103343468
2020-06-24,32700,33400,32700,33200,16686,0.018404907975460016
2020-06-25,32900,32900,31900,32200,24622,-0.030120481927710885
2020-06-26,32550,32750,31200,32550,17480,0.010869565217391353
2020-06-29,32500,32500,31550,31700,21556,-0.02611367127496156
2020-06-30,32050,33400,31750,31950,9565,0.007886435331230235
2020-07-01,32100,32600,32000,32100,16228,0.0046948356807512415
2020-07-02,32150,32500,32150,32250,6232,0.004672897196261738
2020-07-03,32300,33100,32300,32750,14680,0.015503875968992276
2020-07-06,32800,33250,32150,32800,20757,0.0015267175572519776
2020-07-07,33050,33300,32050,32050,20053,-0.02286585365853655
2020-07-08,32050,33000,32000,32800,11736,0.023400936037441422
2020-07-09,32900,33250,32400,32600,20851,-0.0060975609756097615
2020-07-10,32950,32950,32000,32300,13822,-0.009202453987730008
2020-07-13,32750,33150,32200,33050,24699,0.023219814241486114
2020-07-14,33150,33300,32700,33300,14867,0.0075642965204236745
2020-07-15,33650,34500,33500,34000,35481,0.021021021021021102
2020-07-16,34100,36000,34100,35400,51567,0.04117647058823537
2020-07-17,35900,36500,35150,36150,30253,0.021186440677966045
2020-07-20,36700,37500,35300,36350,29394,0.0055325034578146415
2020-07-21,36400,37800,35200,37400,39302,0.028885832187070193
2020-07-22,36950,38350,36750,37300,24608,-0.002673796791443861
2020-07-23,36950,37300,35800,36750,22446,-0.014745308310991967
2020-07-24,36000,36600,35500,35700,30193,-0.02857142857142858
2020-07-27,35650,36650,35500,36150,22499,0.012605042016806678
2020-07-28,36150,36750,36150,36500,20235,0.009681881051175623
2020-07-29,36500,36850,36200,36850,12623,0.009589041095890316
2020-07-30,36850,37200,36350,36400,14690,-0.012211668928086894
2020-07-31,36800,36800,35900,36150,14423,-0.006868131868131844
2020-08-03,36250,37950,36250,37500,27081,0.03734439834024905
2020-08-04,37500,39400,37500,39400,41015,0.05066666666666664
2020-08-05,41000,42600,39850,42600,74766,0.08121827411167515
2020-08-06,43450,47500,42800,43100,100710,0.011737089201877993
2020-08-07,43650,44850,43000,44500,49209,0.03248259860788871
2020-08-10,47450,52100,46150,51200,295349,0.1505617977528091
2020-08-11,52200,54500,50100,50800,150250,-0.0078125
2020-08-12,50800,51900,47850,49700,108269,-0.021653543307086576
2020-08-13,51000,51300,49100,49700,80715,0.0
2020-08-14,50600,50600,48050,50100,88969,0.008048289738430636
2020-08-18,51000,51400,46100,46300,125228,-0.07584830339321358
2020-08-19,45850,49000,45850,47600,69641,0.02807775377969768
2020-08-20,47450,47450,44800,45350,77739,-0.047268907563025264
2020-08-21,45650,46200,44300,45450,58407,0.0022050716648291946
2020-08-24,44900,46700,42600,45400,178817,-0.0011001100110010764
2020-08-25,46800,48650,45800,48300,75386,0.0638766519823788
2020-08-26,48200,50000,47000,47950,76030,-0.007246376811594235
2020-08-27,47850,48150,46200,46950,50587,-0.02085505735140769
2020-08-28,47600,49350,47600,48700,252091,0.03727369542066028
2020-08-31,49750,51000,47500,48650,79101,-0.0010266940451745254
2020-09-01,49850,49900,48850,48850,83060,0.004110996916752319
2020-09-02,49900,51100,49450,50700,143677,0.03787103377686796
2020-09-03,51500,52000,50200,51700,220284,0.019723865877712132
2020-09-04,49000,52500,48950,52400,158025,0.013539651837524147
2020-09-07,53600,68100,53600,68100,729360,0.29961832061068705
2020-09-08,71600,74500,63500,64500,580829,-0.052863436123347984
2020-09-09,62400,68600,61500,63300,323161,-0.018604651162790753
2020-09-10,65600,67300,63800,65800,279640,0.03949447077409163
2020-09-11,65100,66400,64800,65500,211114,-0.00455927051671734
2020-09-14,65400,65500,63800,64300,126279,-0.018320610687022953
2020-09-15,64300,76400,60300,68900,1609084,0.07153965785381033
2020-09-16,70500,72100,65900,69300,284686,0.005805515239477588
2020-09-17,70400,70700,68200,69200,126313,-0.0014430014430014682
2020-09-18,69200,69500,67900,68700,76640,-0.007225433526011571
2020-09-21,69000,70300,66300,68000,131571,-0.010189228529839833
2020-09-22,66800,67300,62600,64100,182134,-0.057352941176470607
2020-09-23,65300,65700,61000,63900,145832,-0.0031201248049922414
2020-09-24,69900,70900,63200,63300,548104,-0.009389671361502372
2020-09-25,64000,64000,59600,60900,167358,-0.03791469194312791
2020-09-28,61200,62500,59600,60300,97643,-0.009852216748768461
2020-09-29,60700,62600,60400,62000,101499,0.028192371475953548
2020-10-05,61900,62500,60700,62500,69124,0.008064516129032251
2020-10-06,62600,62900,61600,62700,78721,0.0032000000000000917
2020-10-07,61500,62900,61500,62700,37442,0.0
2020-10-08,63500,63500,62000,62300,35833,-0.006379585326953707
2020-10-12,62000,63400,61700,61700,50876,-0.009630818619582704
2020-10-13,62300,62300,60700,60900,42968,-0.012965964343598091
2020-10-14,60700,62300,59400,60200,56024,-0.011494252873563204
2020-10-15,60300,60700,57000,58300,100683,-0.031561461794019974
2020-10-16,58400,58700,56700,58400,72970,0.0017152658662091813
2020-10-19,57700,58700,56800,57600,42583,-0.013698630136986356
2020-10-20,57000,57800,56100,57500,42760,-0.0017361111111111605
2020-10-21,58300,60700,57500,60200,73031,0.04695652173913034
2020-10-22,60200,61600,58000,60000,58284,-0.0033222591362126463
2020-10-23,60500,60900,59800,60200,37324,0.0033333333333334103
2020-10-26,60200,61100,56300,58300,34060,-0.031561461794019974
2020-10-27,58300,59400,56800,57800,38509,-0.00857632933104635
2020-10-28,60000,60000,58800,59500,30450,0.02941176470588225
2020-10-29,58500,59100,57800,59000,29469,-0.008403361344537785
2020-10-30,58900,59100,57600,57900,20552,-0.01864406779661021
2020-11-02,57300,58200,57100,58100,24106,0.003454231433505983
2020-11-03,58200,59400,58100,58400,19017,0.005163511187607606
2020-11-04,58700,59200,57400,58000,39045,-0.006849315068493178
2020-11-05,58500,59600,58000,59300,37083,0.022413793103448265
2020-11-06,60000,60100,58600,59100,22965,-0.003372681281618939
2020-11-09,59300,60500,58600,60100,44248,0.016920473773265554
2020-11-10,60500,61000,59600,60300,36547,0.0033277870216306127
2020-11-11,60700,63500,60000,62400,112174,0.03482587064676612
2020-11-12,62700,62800,61100,61500,41871,-0.014423076923076872
2020-11-13,61300,61500,60600,61100,28327,-0.006504065040650375
2020-11-16,61100,63000,61000,61900,55905,0.013093289689034338
2020-11-17,61900,62400,61000,61000,37312,-0.014539579967689842
2020-11-18,61000,61400,60700,61100,18932,0.0016393442622950616
2020-11-19,61000,61000,59700,60000,42204,-0.018003273322422242
2020-11-20,60500,61200,59800,60700,24607,0.011666666666666714
2020-11-23,60300,61600,60000,60800,37500,0.0016474464579900872
2020-11-24,61200,61200,60600,60800,32347,0.0
2020-11-25,61300,62500,60300,61000,81797,0.00328947368421062
2020-11-26,61300,62500,60500,62300,47273,0.021311475409836023
2020-11-27,62700,62700,61800,62500,42549,0.0032102728731941976
2020-11-30,63000,65900,62100,65700,175861,0.05119999999999991
2020-12-01,65200,65600,64000,64500,56159,-0.0182648401826484
2020-12-02,64700,65800,64200,64900,58032,0.006201550387596955
2020-12-03,64900,68500,63800,65900,266181,0.015408320493066174
2020-12-04,67500,68300,66900,67300,130531,0.02124430955993928
2020-12-07,67700,68100,66000,66000,75952,-0.019316493313521588
2020-12-08,66000,66300,64400,64600,67702,-0.021212121212121238
2020-12-09,64800,65400,64300,64300,45142,-0.004643962848297267
2020-12-10,64000,64800,63700,64700,29236,0.0062208398133747345
2020-12-11,64500,66000,64000,65700,53614,0.015455950540958163
2020-12-14,65400,65400,64400,65100,47470,-0.0091324200913242
2020-12-15,64700,65100,64100,64600,42289,-0.007680491551459334
2020-12-16,65300,65300,64100,64200,52515,-0.006191950464396245
2020-12-17,64300,64300,63000,63500,47707,-0.010903426791277204
2020-12-18,63200,63800,62600,63100,48317,-0.006299212598425252
2020-12-21,63200,63800,62100,63300,49454,0.0031695721077653616
2020-12-22,63400,64600,62900,63800,60487,0.00789889415481837
2020-12-23,64100,64700,63600,64400,49664,0.00940438871473348
2020-12-24,64600,65700,64500,65000,54003,0.009316770186335477
2020-12-28,65900,65900,64800,65200,72168,0.003076923076922977
2020-12-29,63900,64400,62900,63900,67403,-0.019938650306748462
2020-12-30,64100,64100,62800,63500,27304,-0.006259780907668211
